summary_level,soc_code,title,employment_2013,employment_2015,change_net,change_percent,annual_avg_openings_total,annual_avg_openings_growth,annual_avg_openings_replacement,annual_wages_2013_mean,annual_wages_2013_median,annual_wages_2013_entry,annual_wages_2013_experienced,typical_entry_education,work_experience,training_needed
4,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",2390,2430,40,0.016736402,80,20,60,75780,75690,51710,87810,High school diploma or equivalent,Less than 5 years,None
3,49-2000,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",3780,3860,80,0.021164021,110,40,70,n/a,n/a,n/a,n/a, , , 
4,49-2011,"Computer, Automated Teller, and Office Machine Repairers",740,740,0,0,20,0,20,42200,41630,27260,49670,"Some college, no degree",None,None
4,49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",1540,1570,30,0.019480519,40,20,20,72550,79560,50400,83630,Postsecondary non-degree award,None,Moderate-term on-the-job training
4,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",380,390,10,0.026315789,20,10,10,64160,66440,44540,73960,Postsecondary non-degree award,None,Long-term on-the-job training
4,49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",140,140,0,0,0,0,0,76840,81690,60550,84980,Postsecondary non-degree award,None,Long-term on-the-job training
4,49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",110,110,0,0,0,0,0,41430,38720,31000,46640,Postsecondary non-degree award,None,Short-term on-the-job training
4,49-2097,Electronic Home Entertainment Equipment Installers and Repairers,110,110,0,0,0,0,0,48920,49980,37460,54660,Postsecondary non-degree award,None,None
4,49-2098,Security and Fire Alarm Systems Installers,540,570,30,0.055555556,20,10,10,48570,49820,33460,56120,High school diploma or equivalent,None,Moderate-term on-the-job training
3,49-3000,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",11740,11940,200,0.017035775,400,110,290,n/a,n/a,n/a,n/a, , , 
4,49-3011,Aircraft Mechanics and Service Technicians,280,280,0,0,10,0,10,60260,65210,45630,67570,Postsecondary non-degree award,None,None
4,49-3021,Automotive Body and Related Repairers,1410,1450,40,0.028368794,50,20,30,39920,40550,25600,47080,High school diploma or equivalent,None,Moderate-term on-the-job training
4,49-3023,Automotive Service Technicians and Mechanics,6900,7030,130,0.01884058,230,60,170,44330,42460,26800,53090,High school diploma or equivalent,None,Long-term on-the-job training
4,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,1230,1250,20,0.016260163,40,10,30,52180,50710,36150,60190,High school diploma or equivalent,None,Long-term on-the-job training
4,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",240,240,0,0,10,0,10,56070,53360,38780,64720,High school diploma or equivalent,None,Long-term on-the-job training
4,49-3051,Motorboat Mechanics and Service Technicians,140,140,0,0,0,0,0,43510,43630,29400,50570,High school diploma or equivalent,None,Long-term on-the-job training
4,49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,310,310,0,0,10,0,10,41970,40120,27240,49340,High school diploma or equivalent,None,Moderate-term on-the-job training
4,49-3093,Tire Repairers and Changers,690,710,20,0.028985507,30,10,20,30680,28670,17930,37050,High school diploma or equivalent,None,Short-term on-the-job training
3,49-9000,"Other Installation, Maintenance, and Repair Occupations",19840,20290,450,0.022681452,640,240,400,n/a,n/a,n/a,n/a, , , 
4,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",360,370,10,0.027777778,20,10,10,66960,68400,45020,77940,High school diploma or equivalent,None,Moderate-term on-the-job training
4,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",1660,1710,50,0.030120482,70,30,40,51900,50200,33620,61040,Postsecondary non-degree award,None,Long-term on-the-job training
4,49-9031,Home Appliance Repairers,230,230,0,0,10,0,10,40470,36560,21550,49930,High school diploma or equivalent,None,Moderate-term on-the-job training
4,49-9041,Industrial Machinery Mechanics,910,940,30,0.032967033,50,20,30,54650,53120,37570,63180,High school diploma or equivalent,None,Long-term on-the-job training
4,49-9043,"Maintenance Workers, Machinery",270,280,10,0.037037037,10,10,0,54320,53830,31980,65490,High school diploma or equivalent,None,Moderate-term on-the-job training
4,49-9051,Electrical Power-Line Installers and Repairers,530,540,10,0.018867925,20,0,20,85080,85710,70360,92440,High school diploma or equivalent,None,Long-term on-the-job training
4,49-9052,Telecommunications Line Installers and Repairers,1410,1400,-10,-0.007092199,30,0,30,74240,83120,48530,87100,High school diploma or equivalent,None,Long-term on-the-job training
4,49-9062,Medical Equipment Repairers,160,160,0,0,0,0,0,55610,54810,40310,63250,Associate's degree,None,Moderate-term on-the-job training
4,49-9071,"Maintenance and Repair Workers, General",11690,11960,270,0.023096664,330,140,190,44770,43280,27050,53630,High school diploma or equivalent,None,Long-term on-the-job training
4,49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",390,400,10,0.025641026,0,0,0,30320,28660,25430,32760,High school diploma or equivalent,None,Short-term on-the-job training
4,49-9098,"Helpers--Installation, Maintenance, and Repair Workers",790,820,30,0.037974684,40,10,30,32610,29520,19720,39050,High school diploma or equivalent,None,Moderate-term on-the-job training
4,49-9099,"Installation, Maintenance, and Repair Workers, All Other",540,550,10,0.018518519,10,0,10,43060,41970,26530,51330,High school diploma or equivalent,None,Moderate-term on-the-job training
2,51-0000,Production Occupations,33060,33280,220,0.006654567,940,270,670,37750,32500,19810,46720, , , 
3,51-1000,Supervisors of Production Workers,2740,2740,0,0,40,0,40,n/a,n/a,n/a,n/a, , , 
4,51-1011,First-Line Supervisors of Production and Operating Workers,2740,2740,0,0,40,0,40,70230,68150,44890,82910,Postsecondary non-degree award,Less than 5 years,None
